sample_id,category,condition,k_irrelevant,valid,suspicious,pred_answer_letter,raw_output_token_count,raw_output_char_count,max_new_tokens,output_near_max_new_tokens,contact_sheet_width,contact_sheet_height,processed_image_width,processed_image_height,text_input_token_count,total_model_input_length,estimated_visual_token_count,num_images
GPT4V-hard/16,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,C,2,3,8,False,1360,760,98,54,30,1355,5292,1
GPT4V-hard/16,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,B,2,3,8,False,1620,760,116,54,30,1598,6264,1
GPT4V-hard/16,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,C,2,3,8,False,1620,760,116,54,30,1598,6264,1
GPT4V-hard/17,GPT4V-hard,original_only,0,True,False,D,1,1,8,False,1100,760,78,54,35,1090,4212,1
GPT4V-hard/17,GPT4V-hard,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,35,1360,5292,1
GPT4V-hard/17,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,35,1360,5292,1
GPT4V-hard/17,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,35,1603,6264,1
GPT4V-hard/17,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,35,1603,6264,1
GPT4V-hard/18,GPT4V-hard,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,27,1082,4212,1
GPT4V-hard/18,GPT4V-hard,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,27,1352,5292,1
GPT4V-hard/18,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,D,1,1,8,False,1360,760,98,54,27,1352,5292,1
GPT4V-hard/18,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,D,1,1,8,False,1620,760,116,54,27,1595,6264,1
GPT4V-hard/18,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,27,1595,6264,1
GPT4V-hard/19,GPT4V-hard,original_only,0,True,False,B,1,1,8,False,1100,760,78,54,28,1083,4212,1
GPT4V-hard/19,GPT4V-hard,gt_crop_only,0,True,False,C,1,1,8,False,1360,760,98,54,28,1353,5292,1
GPT4V-hard/19,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
GPT4V-hard/19,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
GPT4V-hard/19,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
GPT4V-hard/2,GPT4V-hard,original_only,0,True,False,A,2,3,8,False,1100,760,78,54,29,1084,4212,1
GPT4V-hard/2,GPT4V-hard,gt_crop_only,0,True,False,A,2,3,8,False,1360,760,98,54,29,1354,5292,1
GPT4V-hard/2,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,A,2,3,8,False,1360,760,98,54,29,1354,5292,1
GPT4V-hard/2,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,A,2,3,8,False,1620,760,116,54,29,1597,6264,1
GPT4V-hard/2,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,A,2,3,8,False,1620,760,116,54,29,1597,6264,1
GPT4V-hard/21,GPT4V-hard,original_only,0,True,False,A,1,1,8,False,1100,760,78,54,33,1088,4212,1
GPT4V-hard/21,GPT4V-hard,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,33,1358,5292,1
GPT4V-hard/21,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,33,1358,5292,1
GPT4V-hard/21,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,33,1601,6264,1
GPT4V-hard/21,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,A,1,1,8,False,1620,760,116,54,33,1601,6264,1
GPT4V-hard/4,GPT4V-hard,original_only,0,True,False,A,1,1,8,False,1100,760,78,54,39,1094,4212,1
GPT4V-hard/4,GPT4V-hard,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,39,1364,5292,1
GPT4V-hard/4,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,39,1364,5292,1
GPT4V-hard/4,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,39,1607,6264,1
GPT4V-hard/4,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,39,1607,6264,1
GPT4V-hard/5,GPT4V-hard,original_only,0,True,False,D,1,1,8,False,1100,760,78,54,29,1084,4212,1
GPT4V-hard/5,GPT4V-hard,gt_crop_only,0,True,False,B,2,3,8,False,1360,760,98,54,29,1354,5292,1
GPT4V-hard/5,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,B,2,3,8,False,1360,760,98,54,29,1354,5292,1
GPT4V-hard/5,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,B,2,3,8,False,1620,760,116,54,29,1597,6264,1
GPT4V-hard/5,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,B,2,3,8,False,1620,760,116,54,29,1597,6264,1
GPT4V-hard/7,GPT4V-hard,original_only,0,True,False,D,1,1,8,False,1100,760,78,54,36,1091,4212,1
GPT4V-hard/7,GPT4V-hard,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,36,1361,5292,1
GPT4V-hard/7,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,36,1361,5292,1
GPT4V-hard/7,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,36,1604,6264,1
GPT4V-hard/7,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,36,1604,6264,1
GPT4V-hard/8,GPT4V-hard,original_only,0,True,False,A,1,1,8,False,1100,760,78,54,31,1086,4212,1
GPT4V-hard/8,GPT4V-hard,gt_crop_only,0,True,False,C,2,3,8,False,1360,760,98,54,31,1356,5292,1
GPT4V-hard/8,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,C,2,3,8,False,1360,760,98,54,31,1356,5292,1
GPT4V-hard/8,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,A,2,3,8,False,1620,760,116,54,31,1599,6264,1
GPT4V-hard/8,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,A,1,1,8,False,1620,760,116,54,31,1599,6264,1
OCR/sa_17012,OCR,original_only,0,True,False,A,1,1,8,False,1100,760,78,54,27,1082,4212,1
OCR/sa_17012,OCR,gt_crop_only,0,True,False,A,2,3,8,False,1360,760,98,54,27,1352,5292,1
OCR/sa_17012,OCR,gt_plus_1_irrelevant,1,True,False,A,2,3,8,False,1360,760,98,54,27,1352,5292,1
OCR/sa_17012,OCR,gt_plus_4_irrelevant,4,True,False,A,2,3,8,False,1620,760,116,54,27,1595,6264,1
OCR/sa_17012,OCR,gt_plus_8_irrelevant,8,True,False,A,2,3,8,False,1620,760,116,54,27,1595,6264,1
OCR/sa_17063,OCR,original_only,0,True,False,A,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_17063,OCR,gt_crop_only,0,True,False,A,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_17063,OCR,gt_plus_1_irrelevant,1,True,False,A,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_17063,OCR,gt_plus_4_irrelevant,4,True,False,A,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_17063,OCR,gt_plus_8_irrelevant,8,True,False,A,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_18172,OCR,original_only,0,True,False,A,2,3,8,False,1100,760,78,54,27,1082,4212,1
OCR/sa_18172,OCR,gt_crop_only,0,True,False,A,2,3,8,False,1360,760,98,54,27,1352,5292,1
OCR/sa_18172,OCR,gt_plus_1_irrelevant,1,True,False,A,2,3,8,False,1360,760,98,54,27,1352,5292,1
OCR/sa_18172,OCR,gt_plus_4_irrelevant,4,True,False,A,2,3,8,False,1620,760,116,54,27,1595,6264,1
OCR/sa_18172,OCR,gt_plus_8_irrelevant,8,True,False,A,2,3,8,False,1620,760,116,54,27,1595,6264,1
OCR/sa_21796,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_21796,OCR,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_21796,OCR,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_21796,OCR,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_21796,OCR,gt_plus_8_irrelevant,8,True,False,A,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_2786,OCR,original_only,0,True,False,B,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_2786,OCR,gt_crop_only,0,True,False,B,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_2786,OCR,gt_plus_1_irrelevant,1,True,False,B,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_2786,OCR,gt_plus_4_irrelevant,4,True,False,B,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_2786,OCR,gt_plus_8_irrelevant,8,True,False,B,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_3088,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_3088,OCR,gt_crop_only,0,True,False,B,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_3088,OCR,gt_plus_1_irrelevant,1,True,False,B,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_3088,OCR,gt_plus_4_irrelevant,4,True,False,B,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_3088,OCR,gt_plus_8_irrelevant,8,True,False,B,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_39432,OCR,original_only,0,True,False,A,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_39432,OCR,gt_crop_only,0,True,False,A,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_39432,OCR,gt_plus_1_irrelevant,1,True,False,A,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_39432,OCR,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_39432,OCR,gt_plus_8_irrelevant,8,True,False,A,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_39793,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_39793,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_39793,OCR,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_39793,OCR,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_39793,OCR,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_40637,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,27,1082,4212,1
OCR/sa_40637,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,27,1352,5292,1
OCR/sa_40637,OCR,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,27,1352,5292,1
OCR/sa_40637,OCR,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,27,1595,6264,1
OCR/sa_40637,OCR,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,27,1595,6264,1
OCR/sa_41985,OCR,original_only,0,True,False,A,1,1,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_41985,OCR,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_41985,OCR,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_41985,OCR,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_41985,OCR,gt_plus_8_irrelevant,8,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_42303,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_42303,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_42303,OCR,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_42303,OCR,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_42303,OCR,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_42566,OCR,original_only,0,True,False,B,1,1,8,False,1100,760,78,54,29,1084,4212,1
OCR/sa_42566,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,29,1354,5292,1
OCR/sa_42566,OCR,gt_plus_1_irrelevant,1,False,True,,8,43,8,True,1360,760,98,54,29,1354,5292,1
OCR/sa_42566,OCR,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,29,1597,6264,1
OCR/sa_42566,OCR,gt_plus_8_irrelevant,8,False,True,,8,41,8,True,1620,760,116,54,29,1597,6264,1
OCR/sa_43283,OCR,original_only,0,True,False,B,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_43283,OCR,gt_crop_only,0,True,False,C,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_43283,OCR,gt_plus_1_irrelevant,1,True,False,C,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_43283,OCR,gt_plus_4_irrelevant,4,True,False,C,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_43283,OCR,gt_plus_8_irrelevant,8,True,False,C,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_44616,OCR,original_only,0,True,False,B,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_44616,OCR,gt_crop_only,0,True,False,B,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_44616,OCR,gt_plus_1_irrelevant,1,True,False,B,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_44616,OCR,gt_plus_4_irrelevant,4,True,False,B,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_44616,OCR,gt_plus_8_irrelevant,8,True,False,B,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_47747,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_47747,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_47747,OCR,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_47747,OCR,gt_plus_4_irrelevant,4,True,False,D,1,1,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_47747,OCR,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_50038,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_50038,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_50038,OCR,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_50038,OCR,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_50038,OCR,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_58860,OCR,original_only,0,True,False,C,1,1,8,False,1100,760,78,54,29,1084,4212,1
OCR/sa_58860,OCR,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,29,1354,5292,1
OCR/sa_58860,OCR,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,29,1354,5292,1
OCR/sa_58860,OCR,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,29,1597,6264,1
OCR/sa_58860,OCR,gt_plus_8_irrelevant,8,True,False,A,1,1,8,False,1620,760,116,54,29,1597,6264,1
OCR/sa_60634,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,30,1085,4212,1
OCR/sa_60634,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,30,1355,5292,1
OCR/sa_60634,OCR,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,30,1355,5292,1
OCR/sa_60634,OCR,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,30,1598,6264,1
OCR/sa_60634,OCR,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,30,1598,6264,1
OCR/sa_61610,OCR,original_only,0,True,False,A,2,3,8,False,1100,760,78,54,31,1086,4212,1
OCR/sa_61610,OCR,gt_crop_only,0,True,False,C,2,3,8,False,1360,760,98,54,31,1356,5292,1
OCR/sa_61610,OCR,gt_plus_1_irrelevant,1,True,False,C,2,3,8,False,1360,760,98,54,31,1356,5292,1
OCR/sa_61610,OCR,gt_plus_4_irrelevant,4,True,False,C,2,3,8,False,1620,760,116,54,31,1599,6264,1
OCR/sa_61610,OCR,gt_plus_8_irrelevant,8,True,False,C,2,3,8,False,1620,760,116,54,31,1599,6264,1
OCR/sa_61957,OCR,original_only,0,True,False,A,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_61957,OCR,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_61957,OCR,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_61957,OCR,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_61957,OCR,gt_plus_8_irrelevant,8,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_72937,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,29,1084,4212,1
OCR/sa_72937,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,29,1354,5292,1
OCR/sa_72937,OCR,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,29,1354,5292,1
OCR/sa_72937,OCR,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,29,1597,6264,1
OCR/sa_72937,OCR,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,29,1597,6264,1
OCR/sa_79154,OCR,original_only,0,True,False,D,1,1,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_79154,OCR,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_79154,OCR,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_79154,OCR,gt_plus_4_irrelevant,4,True,False,A,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_79154,OCR,gt_plus_8_irrelevant,8,True,False,A,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_82003,OCR,original_only,0,True,False,C,1,1,8,False,1100,760,78,54,26,1081,4212,1
OCR/sa_82003,OCR,gt_crop_only,0,True,False,C,2,3,8,False,1360,760,98,54,26,1351,5292,1
OCR/sa_82003,OCR,gt_plus_1_irrelevant,1,True,False,C,2,3,8,False,1360,760,98,54,26,1351,5292,1
OCR/sa_82003,OCR,gt_plus_4_irrelevant,4,True,False,C,2,3,8,False,1620,760,116,54,26,1594,6264,1
OCR/sa_82003,OCR,gt_plus_8_irrelevant,8,True,False,C,2,3,8,False,1620,760,116,54,26,1594,6264,1
OCR/sa_88890,OCR,original_only,0,True,False,C,2,3,8,False,1100,760,78,54,28,1083,4212,1
OCR/sa_88890,OCR,gt_crop_only,0,True,False,C,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_88890,OCR,gt_plus_1_irrelevant,1,True,False,C,2,3,8,False,1360,760,98,54,28,1353,5292,1
OCR/sa_88890,OCR,gt_plus_4_irrelevant,4,True,False,C,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sa_88890,OCR,gt_plus_8_irrelevant,8,True,False,C,2,3,8,False,1620,760,116,54,28,1596,6264,1
OCR/sr_raw_0,OCR,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,32,1087,4212,1
OCR/sr_raw_0,OCR,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,32,1357,5292,1
OCR/sr_raw_0,OCR,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,32,1357,5292,1
OCR/sr_raw_0,OCR,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,32,1600,6264,1
OCR/sr_raw_0,OCR,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,32,1600,6264,1
OCR/sr_raw_1,OCR,original_only,0,True,False,C,2,3,8,False,1100,760,78,54,32,1087,4212,1
OCR/sr_raw_1,OCR,gt_crop_only,0,True,False,C,2,3,8,False,1360,760,98,54,32,1357,5292,1
OCR/sr_raw_1,OCR,gt_plus_1_irrelevant,1,True,False,C,2,3,8,False,1360,760,98,54,32,1357,5292,1
OCR/sr_raw_1,OCR,gt_plus_4_irrelevant,4,True,False,C,2,3,8,False,1620,760,116,54,32,1600,6264,1
OCR/sr_raw_1,OCR,gt_plus_8_irrelevant,8,True,False,C,2,3,8,False,1620,760,116,54,32,1600,6264,1
OCR/sr_raw_2,OCR,original_only,0,True,False,C,2,3,8,False,1100,760,78,54,33,1088,4212,1
OCR/sr_raw_2,OCR,gt_crop_only,0,True,False,C,2,3,8,False,1360,760,98,54,33,1358,5292,1
OCR/sr_raw_2,OCR,gt_plus_1_irrelevant,1,True,False,C,2,3,8,False,1360,760,98,54,33,1358,5292,1
OCR/sr_raw_2,OCR,gt_plus_4_irrelevant,4,True,False,C,2,3,8,False,1620,760,116,54,33,1601,6264,1
OCR/sr_raw_2,OCR,gt_plus_8_irrelevant,8,True,False,C,2,3,8,False,1620,760,116,54,33,1601,6264,1
