sample_id,category,condition,k_irrelevant,status,original_image_path,gt_crop_path,irrelevant_crop_paths,all_image_paths_used,gt_crop_position,gt_crop_hash,gt_crop_file_hash,gt_crop_width,gt_crop_height,original_image_hash,full_image_processed_hash,prompt_text,gt_answer_letter,gt_answer_text,model_raw_output,pred_answer_letter,pred_answer_text,correct,valid_output,input_token_count,estimated_visual_token_count,output_token_count,finish_reason,generation_time_sec,processor_min_pixels,processor_max_pixels,crop_long_side,attn_implementation,error_message
GPT4V-hard/12,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,outputs/crops/GPT4V-hard__12/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg"", ""outputs/crops/GPT4V-hard__12/gt.png""]",1,2bd609075479e2ad9a0ff68e5c9568a51240c4bd51b40adc93d7a67ed563fac5,6156620b511b5418169137e82086f48c73a2ae675e67e5a1a0207448604ec9da,412,448,b501c14d22c2a3ce77a317b91291d38ed21a8e7be223c66be5db3eec68e1b5b2,022d5f7c58c1709f672517b7b79bbad1c0d67e54cd863126a24b1f6759380f4e,"What is the color of the mug?
(A) The color of the mug is black.
(B) The color of the mug is red.
(C) The color of the mug is white.
(D) The color of the mug is blue.",D,The color of the mug is blue.,D,D,The color of the mug is blue.,True,True,1696,6076,2,eos,0.9905,200704,1003520,448,sdpa,
GPT4V-hard/12,GPT4V-hard,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,outputs/crops/GPT4V-hard__12/gt.png,"[""outputs/crops/GPT4V-hard__12/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_04.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg"", ""outputs/crops/GPT4V-hard__12/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__12/gt.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__12/irrelevant_04.png""]",6,2bd609075479e2ad9a0ff68e5c9568a51240c4bd51b40adc93d7a67ed563fac5,6156620b511b5418169137e82086f48c73a2ae675e67e5a1a0207448604ec9da,412,448,b501c14d22c2a3ce77a317b91291d38ed21a8e7be223c66be5db3eec68e1b5b2,022d5f7c58c1709f672517b7b79bbad1c0d67e54cd863126a24b1f6759380f4e,"What is the color of the mug?
(A) The color of the mug is black.
(B) The color of the mug is red.
(C) The color of the mug is white.
(D) The color of the mug is blue.",D,The color of the mug is blue.,D,D,The color of the mug is blue.,True,True,4331,14856,2,eos,3.2791,200704,1003520,448,sdpa,
GPT4V-hard/13,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png""]",,,,,,5c232b927cb03a63c352660561c4fd8bcbfcb34f0cfcf0d2c5dcbb8eee5caba9,0241b781d099492d84f2092e05eeee26e496bcd25bdb70bdbe127fb28c8522a9,"Tell me the number of that player who is shooting.
(A) The number of that player who is shooting is 30.
(B) The number of that player who is shooting is 10.
(C) The number of that player who is shooting is 24.
(D) The number of that player who is shooting is 8.",D,The number of that player who is shooting is 8.,D,D,The number of that player who is shooting is 8.,True,True,1344,4800,2,eos,0.7404,200704,1003520,448,sdpa,
GPT4V-hard/13,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png,outputs/crops/GPT4V-hard__13/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png"", ""outputs/crops/GPT4V-hard__13/gt.png""]",1,aa28675e0febc7464732de85bf5a218f1e9e7fe1284e9045aa0a2fc9a83c5a2c,6df4b1cbbe959601ec41587d3d5184c858b99c79be404a7833202b6cab177525,136,448,5c232b927cb03a63c352660561c4fd8bcbfcb34f0cfcf0d2c5dcbb8eee5caba9,0241b781d099492d84f2092e05eeee26e496bcd25bdb70bdbe127fb28c8522a9,"Tell me the number of that player who is shooting.
(A) The number of that player who is shooting is 30.
(B) The number of that player who is shooting is 10.
(C) The number of that player who is shooting is 24.
(D) The number of that player who is shooting is 8.",D,The number of that player who is shooting is 8.,D,D,The number of that player who is shooting is 8.,True,True,1665,5880,2,eos,0.9597,200704,1003520,448,sdpa,
GPT4V-hard/13,GPT4V-hard,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png,outputs/crops/GPT4V-hard__13/gt.png,"[""outputs/crops/GPT4V-hard__13/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_02.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png"", ""outputs/crops/GPT4V-hard__13/gt.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__13/irrelevant_02.png""]",1,aa28675e0febc7464732de85bf5a218f1e9e7fe1284e9045aa0a2fc9a83c5a2c,6df4b1cbbe959601ec41587d3d5184c858b99c79be404a7833202b6cab177525,136,448,5c232b927cb03a63c352660561c4fd8bcbfcb34f0cfcf0d2c5dcbb8eee5caba9,0241b781d099492d84f2092e05eeee26e496bcd25bdb70bdbe127fb28c8522a9,"Tell me the number of that player who is shooting.
(A) The number of that player who is shooting is 30.
(B) The number of that player who is shooting is 10.
(C) The number of that player who is shooting is 24.
(D) The number of that player who is shooting is 8.",D,The number of that player who is shooting is 8.,D,D,The number of that player who is shooting is 8.,True,True,4209,14424,2,eos,3.1220,200704,1003520,448,sdpa,
GPT4V-hard/14,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/14.jpg,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/14.jpg""]",,,,,,b67b71000f6716ab7c72c68aa5d91527882a94ea0759a098364dac4a720ba02e,6c83a4ee9e1e7b5d1bbdb499bc10ef221869700c5cbc59bc54a187bcd451470e,"From the information on the black framed board, how long do we have to wait in line for this attraction?
(A) The black framed board displays a wait time of 10 minutes for the attraction.
(B) The black framed board displays a wait time of 30 minutes for the attraction.
(C) The black framed board displays a wait time of 20 minutes for the attraction.
(D) The black framed board displays a wait time of 15 minutes for the attraction.",A,The black framed board displays a wait time of 10 minutes for the attraction.,D,D,The black framed board displays a wait time of 15 minutes for the attraction.,False,True,1402,4920,2,eos,0.7747,200704,1003520,448,sdpa,
GPT4V-hard/14,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/14.jpg,outputs/crops/GPT4V-hard__14/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/14.jpg"", ""outputs/crops/GPT4V-hard__14/gt.png""]",1,d17a03ec93ee921e91447b68a88ebf0888d2fcaf16a6e2d69403ac39f3b58baa,dc22f2b99f5c0568086167d80d8047e24c4494d50d174364ce686017dca985a5,448,408,b67b71000f6716ab7c72c68aa5d91527882a94ea0759a098364dac4a720ba02e,6c83a4ee9e1e7b5d1bbdb499bc10ef221869700c5cbc59bc54a187bcd451470e,"From the information on the black framed board, how long do we have to wait in line for this attraction?
(A) The black framed board displays a wait time of 10 minutes for the attraction.
(B) The black framed board displays a wait time of 30 minutes for the attraction.
(C) The black framed board displays a wait time of 20 minutes for the attraction.
(D) The black framed board displays a wait time of 15 minutes for the attraction.",A,The black framed board displays a wait time of 10 minutes for the attraction.,A,A,The black framed board displays a wait time of 10 minutes for the attraction.,True,True,1729,6008,2,eos,0.9906,200704,1003520,448,sdpa,
GPT4V-hard/14,GPT4V-hard,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/14.jpg,outputs/crops/GPT4V-hard__14/gt.png,"[""outputs/crops/GPT4V-hard__14/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_00.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/14.jpg"", ""outputs/crops/GPT4V-hard__14/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__14/gt.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__14/irrelevant_00.png""]",2,d17a03ec93ee921e91447b68a88ebf0888d2fcaf16a6e2d69403ac39f3b58baa,dc22f2b99f5c0568086167d80d8047e24c4494d50d174364ce686017dca985a5,448,408,b67b71000f6716ab7c72c68aa5d91527882a94ea0759a098364dac4a720ba02e,6c83a4ee9e1e7b5d1bbdb499bc10ef221869700c5cbc59bc54a187bcd451470e,"From the information on the black framed board, how long do we have to wait in line for this attraction?
(A) The black framed board displays a wait time of 10 minutes for the attraction.
(B) The black framed board displays a wait time of 30 minutes for the attraction.
(C) The black framed board displays a wait time of 20 minutes for the attraction.
(D) The black framed board displays a wait time of 15 minutes for the attraction.",A,The black framed board displays a wait time of 10 minutes for the attraction.,A,A,The black framed board displays a wait time of 10 minutes for the attraction.,True,True,4354,14788,2,eos,3.3265,200704,1003520,448,sdpa,
GPT4V-hard/15,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/15.JPG,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/15.JPG""]",,,,,,c93b2e6a3318c92a36d76b381f645a5efbf8306c55155ccec08c485c64a71cc9,eee2a9c7396b16c00203540a70d3990395f4ac2162ac82bdec7c76fb9945128a,"What is the title of that red book?
(A) The title of the red book is ""Websters II"".
(B) The title of the red book is ""Reference Guide"".
(C) The title of the red book is ""Windows Server"".
(D) The title of the red book is ""Office Handbook"".",A,"The title of the red book is ""Websters II"".",A,A,"The title of the red book is ""Websters II"".",True,True,1383,4988,2,eos,0.7770,200704,1003520,448,sdpa,
GPT4V-hard/15,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/15.JPG,outputs/crops/GPT4V-hard__15/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/15.JPG"", ""outputs/crops/GPT4V-hard__15/gt.png""]",1,5d87d3648856960f41064481555c8173d3b0ea11496c15fadd05c02ff27ab0e7,bbe4e497b47d9ceb6e1937f295864463c46616c63b5a73acd5a50788e8ef31cf,235,448,c93b2e6a3318c92a36d76b381f645a5efbf8306c55155ccec08c485c64a71cc9,eee2a9c7396b16c00203540a70d3990395f4ac2162ac82bdec7c76fb9945128a,"What is the title of that red book?
(A) The title of the red book is ""Websters II"".
(B) The title of the red book is ""Reference Guide"".
(C) The title of the red book is ""Windows Server"".
(D) The title of the red book is ""Office Handbook"".",A,"The title of the red book is ""Websters II"".",A,A,"The title of the red book is ""Websters II"".",True,True,1714,6092,2,eos,0.9963,200704,1003520,448,sdpa,
