sample_id,model,judge_result,judge_parse_success,raw_output,finish_reason,runtime_seconds,prompt_tokens,candidate_tokens,thought_tokens,total_tokens,error
TPROMPT4e789f57d216,gemini-3.8-flash,False,True,NO,STOP,15.407869962975383,1522,1,141,1664,
TPROMPT55742422545b,gemini-3.8-flash,False,True,NO,STOP,12.388873543590307,1535,1,72,1608,
TPROMPT590724952722,gemini-3.8-flash,False,True,NO,STOP,6.250418867915869,1551,1,,1552,
TPROMPT59bd48963daf,gemini-3.8-flash,False,True,NO,STOP,14.009755987673998,1531,1,75,1607,
TPROMPT5bdfa8b4b56f,gemini-3.8-flash,False,True,NO,STOP,11.08684298954904,1543,1,,1544,
TPROMPT5c4cd9457ec6,gemini-3.8-flash,False,True,NO,STOP,11.969749780371785,1533,1,28,1562,
TPROMPT5d1d907d375f,gemini-3.8-flash,False,True,NO,STOP,11.631856767460704,1545,1,31,1577,
TPROMPT5e284ebedfca,gemini-3.8-flash,False,True,NO,STOP,8.134697023779154,1540,1,107,1648,
TPROMPT5e89eb1273e1,gemini-3.8-flash,False,True,NO,STOP,21.886912237852812,1543,1,60,1604,
TPROMPT5f09e97ce2c9,gemini-3.8-flash,False,True,NO,STOP,9.892075462266803,1544,1,,1545,
TPROMPT61640b7174a0,gemini-3.8-flash,False,True,NO,STOP,17.453069921582937,1548,1,44,1593,
TPROMPT6252c375dad4,gemini-3.8-flash,False,True,NO,STOP,10.056378826498985,1489,1,54,1544,
TPROMPT632f637e4902,gemini-3.8-flash,False,True,NO,STOP,12.454530250281096,1504,1,58,1563,
TPROMPT67850947f5da,gemini-3.8-flash,True,True,YES,STOP,18.212529752403498,1591,1,,1592,
TPROMPT684691f534ff,gemini-3.8-flash,False,True,NO,STOP,5.598210383206606,1623,1,,1624,
TPROMPT6a3fb0bb1b31,gemini-3.8-flash,False,True,NO,STOP,6.05321441963315,1536,1,,1537,
TPROMPT6a75d7f11f8c,gemini-3.8-flash,False,True,NO,STOP,9.37142351269722,1534,1,274,1809,
TPROMPT6acc555002b3,gemini-3.8-flash,False,True,NO,STOP,7.126842832192779,1519,1,109,1629,
TPROMPT6e8ebd25acae,gemini-3.8-flash,False,True,NO,STOP,9.33730474486947,1527,1,46,1574,
TPROMPT6f68b40581ba,gemini-3.8-flash,False,True,NO,STOP,10.866022737696767,1574,1,53,1628,
TPROMPT727f619343da,gemini-3.8-flash,False,True,NO,STOP,6.018637992441654,1572,1,,1573,
TPROMPT75c2356f5e0f,gemini-3.8-flash,False,True,NO,STOP,9.39779962413013,1542,1,,1543,
TPROMPT76c2790d4a2b,gemini-3.8-flash,False,True,NO,STOP,10.681366108357906,1545,1,,1546,
TPROMPT776fb7077320,gemini-3.8-flash,False,True,NO,STOP,9.327195635065436,1529,1,81,1611,
TPROMPT790db35716bc,gemini-3.8-flash,False,True,NO,STOP,11.351685918867588,1533,1,,1534,
TPROMPT7dfcef906dff,gemini-3.8-flash,False,True,NO,STOP,11.845676807686687,1537,1,80,1618,
TPROMPT7e7a67fa1b6a,gemini-3.8-flash,False,True,NO,STOP,28.251825597137213,1621,1,138,1760,
TPROMPT825bccada2da,gemini-3.8-flash,False,True,NO,STOP,9.473869347944856,1629,1,,1630,
TPROMPT86f9fc4b4507,gemini-3.8-flash,False,True,NO,STOP,10.492397336289287,1775,1,234,2010,
TPROMPT88dc50778928,gemini-3.8-flash,False,True,NO,STOP,8.815094677731395,1510,1,42,1553,
TPROMPT8c50710e0cce,gemini-3.8-flash,False,True,NO,STOP,8.526373764500022,1522,1,75,1598,
TPROMPT8dd640832c5f,gemini-3.8-flash,True,True,YES,STOP,7.335467582568526,1533,1,230,1764,
TPROMPT8f1a37f85a7b,gemini-3.8-flash,False,True,NO,STOP,7.057784650474787,1519,1,38,1558,
TPROMPT8f6f95bc1628,gemini-3.8-flash,False,True,NO,STOP,6.454713257029653,1495,1,40,1536,
TPROMPT92ccc3e205b9,gemini-3.8-flash,False,True,NO,STOP,15.819289853796363,1536,1,41,1578,
TPROMPT93014e1d8303,gemini-3.8-flash,False,True,NO,STOP,12.121556118130684,1508,1,44,1553,
TPROMPT937d576541c5,gemini-3.8-flash,False,True,NO,STOP,9.360237419605255,1590,1,56,1647,
TPROMPT9676e8a997c3,gemini-3.8-flash,False,True,NO,STOP,8.539332188665867,1512,1,345,1858,
TPROMPT96da9834dbc1,gemini-3.8-flash,False,True,NO,STOP,9.732597956433892,1527,,45,1572,
TPROMPT977be29c0aae,gemini-3.8-flash,False,True,NO,STOP,23.373046800494194,1523,1,35,1559,
TPROMPT98d34d3f2f7e,gemini-3.8-flash,False,True,NO,STOP,12.480406543239951,1578,1,153,1732,
TPROMPT9dad8fb37323,gemini-3.8-flash,True,True,YES,STOP,10.07170570269227,1503,1,,1504,
TPROMPT9de5a57bb05d,gemini-3.8-flash,False,True,NO,STOP,11.97199947759509,1526,1,27,1554,
TPROMPT9f45ab1d66fe,gemini-3.8-flash,False,True,NO,STOP,24.67036377452314,1529,1,,1530,
TPROMPTa3ae8e428218,gemini-3.8-flash,False,True,NO,STOP,15.285754522308707,1525,1,252,1778,
TPROMPTa3f0d7e22800,gemini-3.8-flash,False,True,NO,STOP,11.595126938074827,1547,1,124,1672,
TPROMPTa6afff2f9bd6,gemini-3.8-flash,True,True,YES,STOP,10.802408685907722,1489,1,,1490,
TPROMPTa720ecb7da24,gemini-3.8-flash,False,True,NO,STOP,10.887439209967852,1588,1,26,1615,
TPROMPTa8d1a6f74ac4,gemini-3.8-flash,False,True,NO,STOP,10.219486728310585,1510,1,51,1562,
TPROMPTa9dc32957495,gemini-3.8-flash,False,True,NO,STOP,7.485029647126794,1535,1,,1536,
TPROMPTaf2003853447,gemini-3.8-flash,True,True,YES,STOP,13.057674819603562,1515,1,91,1607,
TPROMPTb5a4994265ab,gemini-3.8-flash,False,True,NO,STOP,11.397031808272004,1598,1,58,1657,
TPROMPTb85097d0357f,gemini-3.8-flash,False,True,NO,STOP,6.313678862527013,1547,1,,1548,
TPROMPTbb4183eb9aa6,gemini-3.8-flash,False,True,NO,STOP,11.92011289857328,1511,1,41,1553,
TPROMPTbf126167495a,gemini-3.8-flash,False,True,NO,STOP,9.368093015626073,1533,1,36,1570,
TPROMPTc04e48bbc232,gemini-3.8-flash,True,True,YES,STOP,9.213479675352573,1624,,103,1727,
TPROMPTc0529c3ff153,gemini-3.8-flash,False,True,NO,STOP,13.26196301728487,1505,1,,1506,
TPROMPTc602c59d4cf3,gemini-3.8-flash,False,True,NO,STOP,12.00341571867466,1542,1,40,1583,
TPROMPTc8292fc01cf4,gemini-3.8-flash,False,True,NO,STOP,11.516683777794242,1512,1,,1513,
TPROMPTc8991bac3ee9,gemini-3.8-flash,True,True,YES,STOP,10.133217431604862,1534,1,,1535,
TPROMPTcbf5caf2f74a,gemini-3.8-flash,False,True,NO,STOP,7.664758251979947,1549,1,,1550,
TPROMPTcc36d493e6fa,gemini-3.8-flash,False,True,NO,STOP,11.733452152460814,1580,1,127,1708,
TPROMPTce2940009b7b,gemini-3.8-flash,False,True,NO,STOP,9.94311404041946,1496,1,223,1720,
TPROMPTcf226d5030b8,gemini-3.8-flash,False,True,NO,STOP,9.764050580561161,1523,1,,1524,
TPROMPTcf704e168a0c,gemini-3.8-flash,False,True,NO,STOP,12.139589630067348,1545,1,44,1590,
TPROMPTd02bc74ad0a8,gemini-3.8-flash,False,True,NO,STOP,11.88065568357706,1565,1,67,1633,
TPROMPTd1210081d050,gemini-3.8-flash,False,True,NO,STOP,11.426794366911054,1525,1,61,1587,
TPROMPTd707edeba9f3,gemini-3.8-flash,False,True,NO,STOP,18.163813861086965,1515,1,27,1543,
TPROMPTdaf58fe2a41d,gemini-3.8-flash,False,True,NO,STOP,7.253808692097664,1516,1,,1517,
TPROMPTdcc8e5320bb5,gemini-3.8-flash,False,True,NO,STOP,11.740557236596942,1530,1,227,1758,
TPROMPTdd3cd69fde68,gemini-3.8-flash,False,True,NO,STOP,11.577071411535144,1563,,45,1608,
TPROMPTddb07117b5a0,gemini-3.8-flash,False,True,NO,STOP,11.419052764773369,1552,1,55,1608,
TPROMPTde7c9d8b1fa1,gemini-3.8-flash,False,True,NO,STOP,10.515002012252808,1597,1,114,1712,
TPROMPTdfea3431f2e2,gemini-3.8-flash,False,True,NO,STOP,10.979554910212755,1534,1,30,1565,
TPROMPTe12124092983,gemini-3.8-flash,False,True,NO,STOP,17.385925268754363,1517,1,69,1587,
TPROMPTe1671ded862f,gemini-3.8-flash,False,True,NO,STOP,13.191144045442343,1634,1,,1635,
TPROMPTe2d55a4fcc6f,gemini-3.8-flash,False,True,NO,STOP,18.58227484114468,1584,1,55,1640,
TPROMPTe31648324dbb,gemini-3.8-flash,True,True,YES,STOP,8.404647832736373,1541,1,51,1593,
TPROMPTe56ffa2da97d,gemini-3.8-flash,False,True,NO,STOP,11.754970351234078,1540,1,37,1578,
TPROMPTe63efe3eef16,gemini-3.8-flash,False,True,NO,STOP,11.56102610938251,1537,1,,1538,
TPROMPTe93c0e257ee2,gemini-3.8-flash,True,True,YES,STOP,15.409417236223817,1539,1,56,1596,
TPROMPTecc803d3a795,gemini-3.8-flash,True,True,YES,STOP,10.426996272057295,1609,1,,1610,
TPROMPTee601cf57b9c,gemini-3.8-flash,False,True,NO,STOP,8.039322674274445,1520,1,,1521,
TPROMPTf06acbe8b51e,gemini-3.8-flash,False,True,NO,STOP,12.266121119260788,1552,1,100,1653,
TPROMPTf0730a4d99d6,gemini-3.8-flash,False,True,NO,STOP,10.543998304754496,1589,1,48,1638,
TPROMPTf1708d393345,gemini-3.8-flash,False,True,NO,STOP,9.607997791841626,1539,1,81,1621,
TPROMPTf33ce6bcff4e,gemini-3.8-flash,False,True,NO,STOP,14.969177031889558,1619,1,117,1737,
TPROMPTf693f06204f0,gemini-3.8-flash,False,True,NO,STOP,12.988505307585001,1555,1,52,1608,
TPROMPTf6a13a535901,gemini-3.8-flash,False,True,NO,STOP,21.2685590647161,1539,1,41,1581,
TPROMPTf6d2b9edb7b2,gemini-3.8-flash,False,True,NO,STOP,14.081213347613811,1512,1,341,1854,
TPROMPTf75544649373,gemini-3.8-flash,False,True,NO,STOP,12.467675559222698,1533,1,58,1592,
TPROMPTf84357322ce5,gemini-3.8-flash,False,True,NO,STOP,9.396991895511746,1571,1,74,1646,
TPROMPTfcde76eaeb49,gemini-3.8-flash,False,True,NO,STOP,10.294473208487034,1513,1,37,1551,
TPROMPTfd9e662a5271,gemini-3.8-flash,False,True,NO,STOP,12.93247514590621,1537,1,25,1563,
TPROMPTfdeca2460585,gemini-3.8-flash,True,True,YES,STOP,11.264551194384694,1530,1,214,1745,
TPROMPTff54c94f8c78,gemini-3.8-flash,False,True,NO,STOP,14.063194993883371,1555,1,,1556,
